週別,課程主題,內容大綱
第一週,ChatGPT 高效問答術 (Prompt engineering),了解 LLM 的基本概念學習 LLM 的使用時機和方法讓 ChatGPT 角色扮演，得到更高品質的回應用模板和例子指導 ChatGPT，讓它執行你的任務Custom Instructions Framework 用多個提示讓 ChatGPT 做更深的推理Few shot promptingChain of Thought prompt(思維鏈推理)Chaining Prompts(多個提示鏈)Tree-of Thought
辦公室流程自動化,ChatGPT輔助辦公室工作流程辦公室流程自動化實作
 雲端、本機端LLM模型應用,開源 LLM 模型介紹雲端聊天機器人體驗地端LLM模型應用
專題討論,專題討論
第二週,RPA應用程式介面, RPA概念介紹RPA工具- Make 操作應用專題實作1-ChatGPT + Make  +Line 流程自動化
RPA應用程式介面,專題實作2-ChatGPT + Make  +Line 流程自動化
運用 LLM 互動式介面工具,雲端使用 LLM 模型開發客服機器人RAG實作
專題實作討論與成果發表,分組專題實作討論小組實作成果分享
